do re
er um
et tu
fa so
go to
hi yo
if so
in to
la ti
mi fa
my ox
no si
oh hi
oh my
re mi
so la
ti do

all row
ant bug
any how
arm leg
auk emu
but and
cat dog
cow pig
cup joe
dog fur
erg log
eye see
fox say
git tag
hot sec
lay egg
log jam
map pin
moo cow
nod off
odd job
one two
paw wag
pen nib
pie pan
red sox
run jog
sun tan
tab key
toe tap
yes but

atom bomb
bake oven
base ball
bang drum
bath duck
bird nest
bite itch
boot camp
boys side
card deck
cave dude
code well
cold snow
cook food
dawn dusk
duct tape
fair tent
fall butt
fish bait
flea comb
food meal
four five
gong show
good girl
hand foot
hard easy
head tail
hear news
heel toes
hike boot
home room
hoop roll
lion roar
lock hair
mike drop
miss home
moon star
need want
nerd geek
open door
pack trip
play game
poop list
port hole
quiz show
ring bell
sail boat
same page
sand pail
save file
seed tree
shoe lace
slow fast
sole shoe
sort list
stem wind
surf wave
tech talk
tent camp
time warp
tree leaf
unit test
wait time
walk path
wall roof
wind calm
wolf howl
work play
yoga pose

apple phone
beach shell
birth death
black white
bread dough
build crane
clock parts
early alarm
every thing
green shoot
heart throb
heavy light
hello there
horse rider
level cache
magic array
match flame
paint house
peach mango
photo shoot
piano scale
react state
retro diner
rhyme verse
right wrong
shirt pants
seven eight
sleep dream
snore awake
stiff board
storm flood
straw camel
sunny skies
super power
sushi tasty
sweet loyal
thing stuff
think brain
tooth brush
train puppy
under wraps
upper bound
vista point
wrist brace

canine feline
cookie cutter
family dinner
flower basket
monkey banana
morose donkey
number letter
prison warden
recipe search
remote nearby
rubber mallet
silver polish
winter season

